	num	input_sequence	fol_translation	fol_adjustment-translation	fol_adjustment-eval	horn_translation	Analysis	comment	Symbols	Unnamed: 9	fol_translation_sentiment	fol_adjustment_sentiment
421	3901	it's expected that you follow all protocols at work.	∀x∀y∀z(Protocol(x) ∧ Work(y) ∧ At(z,y) ∧ Follow(z,x) → evaluation(GOOD))	∀x∀y(Work(x) ∧ Protocol(y) ∧ Follows(y,x) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
422	3902	people shouldn't keep cell phones they find on the street, for there may be more at play here than they suspect.	∀x∀y∀z(CellPhone(x) ∧ Street(y) ∧ FoundOn(z,x,y) ∧ Keep(z,x) ∧ Suspect(q) ∧ MoreAtPlayThan(z,q)→ evaluation(BAD))	∀x∀y(People(x) ∧ Find(x,y) ∧ CellPhone(y) ∧ Keep(x,y) → evaluation(BAD))	2.0			for there may be... necessary to include?	∀∃∧→¬∨		0	0
423	3903	it is bad to let your age get in the way of your future.	∀x∀y∀z(Age(x) ∧ BelongsTo(x,y) ∧ Future(z) ∧ BelongsTo(z,y) ∧ LetsGetInTheWayOf(y,z,x) → evaluation(BAD))	∀x∀y(Age(x) ∧ BelongsTo(x,y) ∧ Future(y) ∧ GetsInWay(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
437	4006	it is good to respect boundaries when you are at someone else's  house.	∀x∃y∀z∀q(House(x) ∧ BelongsTo(x,y) ∧ At(z,x) ∧ Boundary(q) ∧ Respect(z,q) → evaluation(GOOD))	∀x∀y∃z(At(x,z) ∧ House(z) ∧ BelongsTo(z,y) ∧ RespectsBoundary(x, z) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
443	4101	it's good to book ahead of time.	∀x(BookAheadOfTime(x) → evaluation(GOOD))	∀x(Booking(x) ∧ AheadOfTime(x) → evaluation(GOOD))	2.0			long predicate?	∀∃∧→¬∨		1	1
453	4200	it is comforting to ease your friends paranoia.	∀x∀y∀z(FriendOf(x,y) ∧ Paranoia(z) ∧ BelongsTo(z,x) ∧ Ease(y,z) → evaluation(GOOD))	∀x∀y(Friends(x,y) ∧ Paranoia(y) ∧ Eases(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
465	4301	it's polite not to be willing to accept someone's reasoning for being late.	∀x∀y∀z(ReasonForBeingLate(x) ∧ BelongsTo(x,y) ∧ ¬WillingToAccept(z,x) → evaluation(GOOD))	∀x∀y∃z(Reasoning(z,x) ∧ BeingLate(x) ∧ ¬WillingToAccept(y,z) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
469	4305	it is good to honor the sacrifices of others.	∀x∃y∀z(Sacrifice(x) ∧ BelongsTo(x,y) ∧ Honor(z,x) → evaluation(GOOD))	∀x∃y∃z(People(y) ∧ Sacrifices(y,z) ∧ Honor(x,z) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
478	4403	it's okay to let the world be come dependent.	∀x∀y(LetBecomeDependent(x,WORLD) → evaluation(GOOD))	∀x(World(x) ∧ BecomesDependent(x) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
483	4408	you shouldn't give away your lunch money.	∀x∀y(LunchMoney(x) ∧ BelongsTo(x,y) ∧ GiveAway(y,x) → evaluation(BAD))	∀x∀y(Money(y) ∧ Lunch(y) ∧ BelongsTo(y,x) ∧ GiveAway(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
494	4508	it's fine to listen to someone's complaints.	∀x∀y∀z(Complaint(x) ∧ BelongsTo(x,y) ∧ ListenTo(z,x) → evaluation(GOOD))	∀x∃y(Complaints(y) ∧ ListensTo(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
497	4600	it's not okay to complain to your employee.	∀x∀y(EmployeeOf(x,y) ∧ ComplainTo(y,x) → evaluation(BAD))	∀x∀y(Employer(x) ∧ Employee(y) ∧ ComplainsTo(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
499	4602	it is bad to be understanding if your friend can't hangout due to social anxiety.	∀x∀y∀z(FriendOf(x,y) ∧ SocialAnxiety(z) ∧ ¬HangOutDueTo(x,z) ∧ Understanding(y) → evaluation(BAD))	∀x∀y(SocialAnxiety(y) ∧ CanNotHangout(y) ∧ Friend(y,x) ∧ Understanding(x) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
503	4606	you shouldn't confront people if you have a problem with them.	∀x∀y∀z(Problem(x) ∧ People(y) ∧ HaveWith(z,x,y) ∧ Confront(z,y) → evaluation(BAD))	∀x∀y(ProblemWith(y,x) ∧ Confronts(y,x) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
509	4702	it's bad to be very smart.	∀x(VerySmart(x) → evaluation(BAD))	∀x(Smart(x) ∧ Very(x) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
514	4707	it's understandable if you have romantic feelings for your doctor.	∀x∀y∀z(RomaticFeeling(x) ∧ Doctor(y) ∧ BelongsTo(y,z) ∧ HaveFor(z,x,y) → evaluation(GOOD))	∀x∀y(Patient(x) ∧ Doctor(y) ∧ HaveRomanticFeelings(x,y) → evaluation(GOOD))	2.0			belongs is not really right...	∀∃∧→¬∨		1	1
516	4709	you should try to understand that people sometimes have problems weighing on their minds that make it hard for them to focus you.	∃x∃y∀z∀q(People(x) ∧ Problem(y) ∧ MindOf(z,x) ∧ TryToUnderstandWeighOnMakeItHardToFocusOn(q,y,x,z) → evaluation(GOOD))	∀x∀y∃z∃w(People(z) ∧ Problem(w) ∧ OnMind(w,z) ∧ MakesHardToFocus(w,z,y) ∧ TriesToUnderstand(x,w) → evaluation(GOOD))	2.0			crazy long predicate...	∀∃∧→¬∨		1	1
521	4803	it is bad to want to bring your family pet in even if it means you have to sneak him in.	∀x∀y∀z(FamilyPet(x) ∧ BelongsTo(x,y) ∧ WantToBringIn(y,x) ∧ (HaveToSneakIn(y,x) ∨ ¬HaveToSneakIn(y,x)) → evaluation(BAD))	∀x∀y(FamilyPet(y,x) ∧ WantsToBringIn(x,y) ∧ IntentToSneakIn(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
526	4808	it is polite to criticize someone else's parenting.	∀x∀y∃z(Parenting(x) ∧ BelongsTo(x,y) ∧ Criticize(z,x) → evaluation(GOOD))	∀x∀y∃z(ParentingOf(z,y) ∧ Criticizes(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
528	4810	it's bad to be supportive when someone is severely anxious.	∀x∀y(SeverlyAnxious(x) ∧ Supportive(y) → evaluation(BAD))	∀x∀y(Anxious(y) ∧ Severely(y) ∧ Supportive(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
532	4903	it's right not to go to your work christmas party.	∀x∀y(Work(x) ∧ BelongsTo(x,y) ∧ ChristmasParty(z) ∧ For(z,x) ∧ ¬GoTo(y,z) → evaluation(GOOD))	∀x∀y(WorkParty(y) ∧ Christmas(y) ∧ BelongsTo(y,x) ∧ ¬GoTo(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
535	4906	you have no right to talk to anyone you like.	∀x∀y(Like(x,y) ∧ TalkTo(x,y) → evaluation(BAD))	∀x∀y∀z(People(x) ∧ Likes(x,y) ∧ TalkTo(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
541	5001	it's okay to call your husband out when he's fighting over something stupid with a friend.	∀x∀y∀z∀q(HusbandOf(x,y) ∧ FriendOf(z,x) ∧ Stupid(q) ∧ FightOverWith(x,q,z) ∧ CallOut(y,x) → evaluation(GOOD))	∀x∀y∀z∀w(HusbandOf(x,y) ∧ FriendOf(z,y) ∧ FightsOverSomethingStupid(y,z,w) ∧ CallsOut(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
564	5202	you can expect everyone to have a partner.	∀x(HasPartner(x) → evaluation(GOOD))	∀x∃y(People(x) ∧ PartnerOf(y,x)) → evaluation(GOOD)	2.0				∀∃∧→¬∨		1	1
565	5203	it is good to recognize the good performance of others.	∀x∃y∀z(Performance(z) ∧ Good(z) ∧ Belongsto(z,y) ∧ RecognizeOf(x,z,y) → evaluation(GOOD))	∀x∀y∃z(GoodPerformance(z) ∧ Other(x,z) ∧ Recognize(y,z) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
573	5301	it's okay to not know what you want sometimes	∃x(¬KnowWhatWant(x) → evaluation(GOOD))	∃x∃y(Person(x) ∧ Want(x,y) ∧ ¬Knows(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
575	5303	you shouldn't spend so much time thinking about death.	∀x∀y(MuchTime(x) ∧ SpendThinkingAbout(y,x,DEATH) → evaluation(BAD))	∀x(Death(y) ∧ ThinksAbout(x,y) ∧ SpendsTooMuchTime(x) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
578	5306	it's polite to recognize other's special occasions.	∀x∀y∃z(SpecialOccasion(x) ∧ BelongsTo(x,z) ∧ Recognize(y,x) → evaluation(GOOD))	∀x∃y∃z(People(x) ∧ SpecialOccasion(z) ∧ OwnedBy(z,y) ∧ Recognize(x,z) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
587	5404	it's wrong to want to induce labor when you're sick of being pregnant.	∀x(SickOfBeingPregnant(x) ∧ WantToInduceLabor(x) → evaluation(BAD))	∀x∀y(Pregnant(x) ∧ SickOfBeingPregnant(x,y) ∧ WantInduceLabor(x) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
593	5410	it's bad to complain about bad service so the problem can be fixed.	∀x∀y∀z(Service(x) ∧ Bad(x) ∧ Problem(y) ∧ ComplainSoCanBeFixed(z,x,y) → evaluation(BAD))	∀x∀y(BadService(y) ∧ Complains(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
602	5509	it's irrational that kids will sometimes misbehave.	∃x∃y(KidOf(x,y) ∧ Misbehave(x) → evaluation(BAD))	∃x∃y(Kids(x) ∧ SometimesMisbehave(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
613	5609	it's not a good thing to eat fruit when you're craving something sweet	∀x∀y∀z(Sweet(x) ∧ Craves(y,x) ∧ Fruit(z) ∧ Eat(y,z) → evaluation(BAD))	∀x∀y(Fruit(x) ∧ CravingSweet(y) ∧ EatWhen(y,x) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
615	5700	you shouldn't respect your family's space if they do not want you there.	∀x∀y∀z(Space(x) ∧ FamilyOf(y,z) ∧ BelongsTo(x,y) ∧ ¬WantAt(y,z,x) ∧ Respect(z,x) → evaluation(BAD))	∀x∀y∀z(FamilyOf(x,y) ∧ Space(z,x) ∧ ¬Want(y,z) ∧ Respects(y,z) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
616	5701	it's not okay to feel upset at times.	∃x(FeelUpset(x) → evaluation(BAD))	∀x(Feels(x, UPSET) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
623	5709	it's not rude to make someone wait longer than they expect to wait.	∀x∀y(ExpectedToWait(x,TIME) ∧ MakeWaitLongerThan(y,x,TIME) → evaluation(GOOD))	∀x∀y(MakesWaitLonger(x,y) → evaluation(GOOD))	2.0			Time as constant...	∀∃∧→¬∨		1	1
627	5802	it's understandable to want to be comfortable wherever you are.	∀x∀y(WantToBeComfortable(x) ∧ IsAt(x,y) → evaluation(GOOD))	∀x∀y(WantsToBeComfortable(x) ∧ Anywhere(y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
628	5803	it is understandable to be uncomfortable around disabled people.	∀x∀y(Uncomfortable(x) ∧ Disabled(y) ∧ Around(x,y) → evaluation(GOOD))	∀x∃y(People(x) ∧ Disabled(y) ∧ UncomfortableAround(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
633	5808	it's not rude to mute your significant other on messaging apps no matter what they did.	∀x∀y∀z∀q(SignificantOtherOf(x,y) ∧ MessagingApp(z) ∧ MuteOn(y,x,z) ∧ Did(x,q) → evaluation(GOOD))	∀x∀y(SignificantOtherOf(x,y) ∧ MutedOnApp(y,x, MESSAGING_APP) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
637	5901	it's good to listen to a doctors advice	∀x∀y(Doctor(x) ∧ ListenToAdviceFrom(y,x) → evaluation(GOOD))	∀x∀y(Doctor(x) ∧ GivesAdvice(x,y) ∧ ListensTo(y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
639	5903	it's expected people have preferences they want to share when eating out.	∀x∀y(PreferenceOf(x,y) ∧ WantToShare(y,x) ∧ EatingOut(y) → evaluation(GOOD))	∀x∀y∀z(People(x) ∧ Preferences(y) ∧ BelongsTo(y,x) ∧ EatingOut(z) ∧ WantToShare(x,y,z) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
641	5905	one should be honest with people about their past whether it's good or bad.	∀x∀y(BeHonestAboutPastOf(x,y) ∧ (HasGoodPast(y) ∨ HasBadPast(y)) → evaluation(GOOD))	∀x∀y(People(y) ∧ Past(x) ∧ HonestAbout(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
653	6006	it is rude to give away trust funds.	∀x∀y(TrustFunds(x) ∧ GiveAway(y,x) → evaluation(BAD))	∀x(TrustFund(x) ∧ GiveAway(x) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
656	6010	it's okay to pop your penis.	∀x(PopOwnPenis(x) → evaluation(GOOD))	∀x(Penis(x) ∧ Pops(x) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
665	6108	it's understandable to want to talk about each other's idiosyncrasies before committing to marriage.	∀x∀y∀z(Idiosyncrasies(x) ∧ WantToTalkToAboutBeforeCommittingTo(y,z,x,MARRIAGE) → evaluation(GOOD))	∀x∀y∀z(People(x) ∧ People(y) ∧ Idiosyncrasies(z) ∧ BelongsTo(z,y) ∧ WantsToTalkAbout(x,z) ∧ BeforeCommittingToMarriage(x,y) → evaluation(GOOD))	2.0			Long predicate, open to suggestions	∀∃∧→¬∨		1	1
670	6202	you should be careful not to get things stuck in your hair.	∀x∀y∀z(Hair(x) ∧ BelongsTo(x,y) ∧ BeCarefulNotToGetStuckIn(y,z,x) → evaluation(GOOD))	∀x∀y(Thing(x) ∧ Hair(y) ∧ BeCarefulAboutNotGettingStuckIn(y,x) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
671	6203	it's okay to judge your sister when she gets pregnant by accident.	∀x∀y(SisterOf(x,y) ∧ GetPregnantOnAccident(x) ∧ Judge(y,x) → evaluation(GOOD))	∀x∀y∀z(SisterOf(y,x) ∧ Accident(z) ∧ GetsPregnant(y,z) ∧ Judge(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
678	6210	you should not always try to get along with your family.	∃x∃y(FamilyOf(x,y) ∧ TryToGetAlongWith(y,x) → evaluation(BAD))	∀x∀y(FamilyOf(y,x) ∧ AlwaysTriesToGetAlongWith(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
680	6301	it's wrong if you want to move a bird's nest somewhere else.	∀x∃y∀z(BirdsNest(x) ∧ WantToMoveTo(z,x,y) → evaluation(BAD))	∀x∀y∀z(BirdsNest(y) ∧ WantsToMoveTo(x,y,z) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
681	6302	it's not perfectly normal for some people to be shy about talking to others.	∀x∃y(ShyAboutTalkingTo(x,y) → evaluation(BAD))	∀x∃y(People(x) ∧ Shy(x) ∧ TalkToOthers(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
688	6309	people should not be vested in their relationships.	∀x∀y(Relationship(x) ∧ BelongsTo(x,y) ∧ VestedIn(y,x) → evaluation(BAD))	∀x∀y(People(x) ∧ Relationship(y) ∧ VestedIn(x, y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
700	6410	it is good to pay someone anytime they are babysitting your kids.	∀x∀y∀z(ChildOf(x,y) ∧ Babysit(z,x) ∧ Pay(y,z) → evaluation(GOOD))	∀x∀y∀z∃t(Kids(y) ∧ BelongsTo(y,z) ∧ Babysits(x,y,t) ∧ Pays(z,x,t) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
703	6502	it's bad to admit previous mistakes.	∀x∀y(PreviousMistake(x) ∧ Admit(y,x) → evaluation(BAD))	∀x∃y(Mistake(y) ∧ Previous(y) ∧ Admits(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		0	1
706	6505	it is wrong to dictate another adults sleep schedule.	∀x∃x∀z(Adult(y) ∧ SleepSchedule(x) ∧ BelongsTo(x,y) ∧ Dictate(z,x) → evaluation(BAD))	∀x∀y∃z(People(x) ∧ Adult(z) ∧ ¬Equals(x,z) ∧ SleepSchedule(y,z) ∧ Dictate(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
727	6704	it's bad to defend yourself if you're being attacked.	∀x(Attacked(x) ∧ Defend(x,x) → evaluation(BAD))	∀x∀y(Attacks(y, x) ∧ Defends(x) → evaluation(GOOD))	2.0				∀∃∧→¬∨		0	1
734	6800	it's rude to complain you don't like something you didn't pay for.	∀x∀y(¬PayFor(x,y) ∧ ComplainNotToLike(x,y) → evaluation(BAD))	∀x∀y(DidNotPayFor(x,y) ∧ Complain(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
745	6900	it's good to help out your friends when they are having problems.	∀x∀y∀z(FriendOf(x,y) ∧ Problem(z) ∧ Have(x,z) ∧ HelpOut(y,x) → evaluation(GOOD))	∀x∀y∀z(Friends(x,y) ∧ HasProblem(y,z) ∧ Helps(x,y,z) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
767	7100	it's good to show affection to the people you love.	∀x∀y∀z(People(x) ∧ Love(y,x) ∧ Affection(z) ∧ ShowTo(y,z,x) → evaluation(GOOD))	∀x∀y(Love(y,x) ∧ People(y) ∧ ShowsAffectionTo(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
769	7102	you should not always make sure your fridge is stocked full of food	∃x∃y∃z(Fridge(x) ∧ BelongsTo(x,y) ∧ Food(z) ∧ ¬MakeSureStockedFullOf(y,x,z) → evaluation(GOOD))	∀x∀y(Fridge(x) ∧ BelongsTo(x,y) ∧ ∀z(Food(z) ∧ StockedWith(x,z)) → evaluation(BAD))	2.0			not always = all variables using existential quantifier	∀∃∧→¬∨		1	0
777	7110	if you get a flat tire your spouse isn't expected to help you change it.	∀x∀y∀z(SpouseOf(x,y) ∧ Tire(z) ∧ Flat(z) ∧ Get(y,z) ∧ HelpChange(x,y,z) → evaluation(BAD))	∀x∀y∀z(IsSpouseOf(x,y) ∧ HasFlatTire(z,x) ∧ ¬HelpsChange(y,z) → evaluation(GOOD))	2.0				∀∃∧→¬∨		0	1
789	7301	it's good to ask your teacher for help when you're worried you're going to fail.	∀x∀y(TeacherOf(x,y) ∧ WorriedGoingToFail(y) ∧ AshForHelp(y,x) → evaluation(GOOD))	∀x∀y(TeacherOf(y, x) ∧ Worried(x) ∧ BelievesSelfFailing(x) ∧ AsksHelpFrom(x, y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
791	7303	it's bad to cut out your best friend without explanation.	∀x∀y∀z(BestFriendOf(x,y) ∧ Explaination(z) ∧ CutOutWithout(y,x,z) → evaluation(BAD))	∀x∀y(Friend(y,x) ∧ Best(y,x) ∧ CutOut(x,y) ∧ ¬Explains(x,y,CUT_OUT) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
793	7305	it's expected that you attend a funeral as a final farewell to the deceased.	∀x∀y∀z(Funeral(x) ∧ Deseased(y) ∧ AttendAsFinalFarewellTo(z,x,y) → evaluation(GOOD))	∀x∀y(Deceased(y) ∧ FuneralOf(y,x) ∧ Attend(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
796	7308	if you have a test, you're not expected to be ready for it .	∀x∀y(Test(x) ∧ Have(y,x) ∧ ReadyFor(y,x) → evaluation(BAD))	∀x∀y(Test(x) ∧ Has(y,x) ∧ ¬ReadyFor(y,x) → evaluation(GOOD))	2.0			Opposite evaluation but same meaning	∀∃∧→¬∨		0	1
805	7406	it's normal to have a favorite.	∀x(HasFavorite(x) → evaluation(GOOD))	∀x∀y(Thing(x) ∧ Favours(y,x) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
811	7502	it is smart to double-check information before giving up.	∀x∀y(Information(x) ∧ DoubleCheckBeforeGivingUp(y,x) → evaluation(GOOD))	∀x∀y(DoubleCheck(x, y) ∧ Information(y) → evaluation(GOOD))	2.0			before	∀∃∧→¬∨		1	1
817	7508	if you love your job, you should quit it .	∀x∀y(Job(x) ∧ BelongsTo(x,y) ∧ Love(y,x) ∧ Quit(y,x) → evaluation(GOOD))	∀x∀y(JOB(y) ∧ BelongsTo(x, y) ∧ Loves(x, y) ∧ Quits(x, y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
820	7600	it's bad to take your precious items with you when you go on trips.	∀x∀y∀z(Item(x) ∧ Precious(x) ∧ Trip(y) ∧ TakeWithOn(z,x,y) → evaluation(BAD))	∀x∀y(PreciousItem(x) ∧ BelongsTo(x,y) ∧ TakesWith(y,x) ∧ GoesOnTrips(y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
822	7602	it's unreasonable that your things will be safe in your own home.	∀x∀y∀z(BelongsTo(x,y) ∧ Home(z) ∧ BelongsTo(z,y) ∧ SafeIn(x,z) → evaluation(BAD))	∀x∀y∀z(Thing(x) ∧ BelongsTo(x,y) ∧ Safe(x,z) ∧ HomeOf(z,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
832	7701	it is bad to plan in advance for a fun night out.	∀x∀y(NightOut(x) ∧ Fun(x) ∧ PlanInAdvance(y,x) → evaluation(BAD))	∀x∀y(Plans(x,y) ∧ NightOut(y) ∧ Fun(y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
838	7708	it's normal to wonder about the afterlife	∀x(WonderAbout(x,AFTERLIFE) → evaluation(GOOD))	∀x(People(x) ∧ WonderAbout(x,AFTERLIFE) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
852	7900	wearing a shirt under your sweater is smart in case you get hot.	∀x∀y∀z(Shirt(x) ∧ Sweater(y) ∧ BelongsTo(y,z) ∧ WearUnder(z,x,y) ∧ GetHot(z) → evaluation(GOOD))	∀x∀y∀z(Shirt(x) ∧ Sweater(y) ∧ WearsUnder(z, y, x) ∧ GetsHot(z) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
862	7910	it's bad that life sometimes over burdens us.	∃x∃y(Overburdens(LIFE,x) → evaluation(BAD))	∃x∃y(People(x) ∧ Life(y) ∧ Overburdens(y,x) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
866	8003	it's understandable to feel protective when someone thinks about raping a girl.	∀x∀y∀z(Girl(x) ∧ ThinksAboutRaping(y,x) ∧ FeelProtective(z) → evaluation(GOOD))	∀x∃y∃z(People(x) ∧ People(y) ∧ Girl(z) ∧ ThinksAbout(y,z,RAPING) ∧ FeelProtective(x) → evaluation(GOOD))	2.0			GPT might react on the language	∀∃∧→¬∨		1	1
867	8004	it's okay to have imaginary friends if it makes you feel less lonely.	∀x∀y∀z(FriendOf(x,y) ∧ Imaginary(x) ∧ FeelLessLonely(y) → evaluation(GOOD))	∀x∀y((Person(x) ∧ Friends(x, y) ∧ Imaginary(y) ∧ FeelLessLonely(x)) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
873	8010	you should not listen to someone when they tell you something is garbage so you can avoid it.	∀x∀y∀z(TellsThingIsGarbage(x,y,z) ∧ ListenTo(y,x) ∧ Avoid(y,z) → evaluation(BAD))	∀x∀y(Garbage(y) ∧ Tells(x,y) ∧ ListenedTo(x) → evaluation(BAD))	2.0			"ambigous sentence attempted to translate it - I understood it as ""if you listen to someone telling you about how x is garbage so you can avoid it, that is bad and you sohuld not do it"""	∀∃∧→¬∨		0	0
875	8101	you should physically fight.	∀x(Physicallyfight(x) → evaluation(GOOD))	∀x(Fight(x) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
895	8300	it's okay to create boundaries when you are sharing a bathroom.	∀x∀y∀z(Bathroom(x) ∧ Share(y,x) ∧ Boundary(z) ∧ Create(y,z) → evaluation(GOOD))	∀x∀y(SharesBathroom(x,y) ∧ CreatesBoundaries(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
901	8306	it is wrong to ask someone who is not good for the group to leave.	∀x∀y∀z(AskToLeave(x,y) ∧ ¬GoodFor(y,z) ∧ Group(z) → evaluation(BAD))	∀x∀y∀z(Group(z) ∧ Member(y,z) ∧ ¬GoodFor(y,z) ∧ AsksToLeave(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
911	8405	it's bad for a college student to live at home.	∀x∀y∀z(Home(x) ∧ CollegeStudent(y) ∧ LiveAt(y,x) → evaluation(BAD))	∀x∀y(Student(x, COLLEGE) ∧ Home(y) ∧ LivesAt(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
917	8500	it's okay to want to reminisce about the past sometimes.	∃x∃y(Past(x) ∧ WantToReminisceAbout(y,x) → evaluation(GOOD))	∃x∃y(People(x) ∧ Past(y) ∧ WantsToReminisceAbout(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
942	8704	it's unacceptable to have a purely physical encounter with someone.	∀x∀y∀z(Encounter(x) ∧ PurelyPhysical(x) ∧ HaveWith(y,x,z) → evaluation(BAD))	∀x∀y(People(x) ∧ PhysicalEncounter(x,y) ∧ Purely(y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
949	8801	you shouldn't be a bad influence on kids.	∀x∀y(Kid(x) ∧ BeBadInfluenceOn(y,x) → evaluation(BAD))	∀x∀y(Person(x) ∧ Kids(y) ∧ BadInfluenceOn(x, y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
951	8803	it's right to throw your ex's belongings out the window after a breakup	∀x∀y∀z∀q(ExOf(x,y) ∧ BelongsTo(z,x) ∧ Window(q) ∧ ThrowOutAfterBreakup(y,z,q) → evaluation(GOOD))	∀x∀y∀z∀w(Breakup(x,y) ∧ BelongsTo(z,y) ∧ Window(w) ∧ ThrowsOutWindow(x,z,w) → evaluation(GOOD))	2.0			after	∀∃∧→¬∨		1	1
958	8810	you should always trust your gut when dealing with your kids.	∀x∀y∀z(Kid(x) ∧ BelongsTo(x,y) ∧ Gut(z) ∧ BelongsTo(z,y) ∧ TrustWhenDealingWith(y,z,x) → evaluation(GOOD))	∀x∀y(Kid(y) ∧ Ownership(x,y) ∧ TrustsGutWhenDealingWith(x, y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
962	8903	it's understandable if you're frustrated when you wreck your car.	∀x∀y(Car(x) ∧ BelongsTo(x,y) ∧ Wreck(y,x) ∧ Frustrated(y) → evaluation(GOOD))	∀x∀y(Person(x) ∧ Car(y) ∧ Wreck(x,y) ∧ Frustrated(x) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
964	8905	people are not expected to treat work seriously.	∀x∀y(People(x) ∧ Work(y) ∧ TeatSeriously(x,y) → evaluation(BAD))	∀x∀y(People(x) ∧ Work(y) ∧ ¬TreatsSeriously(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		0	1
966	8907	you shouldn't scold your kids.	∀x∀y(Kid(x) ∧ BelongsTo(x,y) ∧ Scold(y,x) → evaluation(BAD))	∀x∀y(Kid(y) ∧ ParentOf(x, y) ∧ Scolds(x, y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
