	num	input_sequence	fol-translation	fol-eval	fol_adjustment-translation	fol_adjustment-eval	cnf	cnf-eval	horn	horn-eval
358	3209	it is wrong to not want to talk about politics with your parents.	∀x∀y(Parents(y,x) ∧ Politics(z) ∧ ¬WantsToTalkAbout(x,z) → evaluation(BAD))	1	∀x∀y(Parents(y,x) ∧ Politics(z) ∧ ¬WantsToTalkAbout(x,z) → evaluation(BAD))	1	evaluation(BAD) | ~Parents(v124, v123) | ~Politics(v125) | WantsToTalkAbout(v123, v125)	1	INVALID HORN	0
361	3301	it's understandable if blind dates don't go well.	∀x∀y(BlindDate(x,y) ∧ ¬GoesWell(x,y) → evaluation(GOOD))	1	∀x∀y(BlindDate(x,y) ∧ ¬GoesWell(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~BlindDate(v130, v131) | GoesWell(v130, v131)	1	INVALID HORN	0
362	3302	you shouldn't throw people's things away without their permission.	∀x∀y∀z(People(x) ∧ Thing(y) ∧ BelongsTo(y,x) ∧ ThrowsAway(z,y) ∧ ¬Permission(z,x) → evaluation(BAD))	1	∀x∀y∀z(People(x) ∧ Thing(y) ∧ BelongsTo(y,x) ∧ ThrowsAway(z,y) ∧ ¬HasPermission(z,x) → evaluation(BAD))	1	evaluation(BAD) | ~People(v132) | ~Thing(v133) | ~BelongsTo(v133, v132) | ~ThrowsAway(v134, v133) | HasPermission(v134, v132)	1	INVALID HORN	0
367	3307	it's wrong to not talk to a family member over something silly.	∀x∀y∀z(FamilyOf(x,y) ∧ Silly(z) ∧ ¬TalkTo(y,z) → evaluation(BAD))	1	∀x∀y∀z(FamilyOf(x,y) ∧ Silly(z) ∧ ¬TalkTo(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~FamilyOf(v142, v143) | ~Silly(v144) | TalkTo(v142, v143)	1	INVALID HORN	0
375	3404	you should have pet names for someone you're not in a relationship with.	∀x∀y(PetNames(y,x) ∧ ¬InRelationship(y,x) → evaluation(GOOD))	1	∀x∀y(PetNames(x,y) ∧ ¬InRelationship(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~PetNames(v158, v159) | InRelationship(v158, v159)	1	INVALID HORN	0
381	3500	if you have extra space, it's bad to let your family stay there .	∀x∀y∀z(HasExtraSpace(x) ∧ FamilyOf(y,x) ∧ StaysAt(y,z) → evaluation(BAD))	1	∀x∀y(HasExtraSpace(x) ∧ FamilyOf(y,x) ∧ ¬LetStay(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~HasExtraSpace(v169) | ~FamilyOf(v170, v169) | LetStay(v169, v170)	1	INVALID HORN	0
383	3503	if you're not happy of your living environment, you should go live elsewhere.	∀x∀y(LivingEnvironmentOf(x,y) ∧ ¬HappyAbout(x,y) → GoLiveElsewhere(x) → evaluation(GOOD))	1	∀x∀y(LivingEnvironmentOf(x,y) ∧ ¬HappyAbout(x,y) → (GoLiveElsewhere(x) → evaluation(GOOD)))	1	evaluation(GOOD) | ~GoLiveElsewhere(v171) | ~LivingEnvironmentOf(v171, v172) | HappyAbout(v171, v172)	1	INVALID HORN	0
384	3504	you shouldn't date people you don't find attractive.	∀x∀y(People(x) ∧ People(y) ∧ Dates(x,y) ∧ ¬FindsAttractive(x, y) → evaluation(BAD))	1	∀x∀y(People(x) ∧ People(y) ∧ ¬FindsAttractive(x, y) ∧ Dates(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~People(v173) | ~People(v174) | FindsAttractive(v173, v174) | ~Dates(v173, v174)	1	INVALID HORN	0
385	3505	if you get pulled over, you should not do what the officer says .	∀x∀y(GetsPulledOver(x) ∧ Officer(y) ∧ ¬DoesWhat(x,y) → evaluation(GOOD))	1	∀x∀y(GetsPulledOver(x) ∧ Officer(y) ∧ ¬DoesWhat(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~GetsPulledOver(v175) | ~Officer(v176) | DoesWhat(v175, v176)	1	INVALID HORN	0
389	3509	people are not expected to take care of their loved ones.	∀x∀y(Loves(x,y) ∧ TakesCareOf(y,x) → evaluation(BAD))	1	∀x∀y(Loves(x,y) ∧ ¬TakesCareOf(y,x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Loves(v183, v184) | TakesCareOf(v184, v183)	1	INVALID HORN	0
401	3700	it's ok to not want to go on a trip with people you don't know.	∀x∀y∀z(Trip(y) ∧ People(z) ∧¬ Knows(x,z) ∧ ¬ WantsToGoOnTripWith(x, y, z) → evaluation(GOOD))	1	∀x∀y∀z(Trip(y) ∧ People(z) ∧ ¬Know(x,z) ∧ ¬WantsToGoOnTripWith(x,y,z) → evaluation(GOOD))	1	evaluation(GOOD) | ~Trip(v3) | ~People(v4) | Know(v2, v4) | WantsToGoOnTripWith(v2, v3, v4)	1	INVALID HORN	0
405	3704	you don't have to eat any vegetables you don't like.	∀x∀y(Vegetable(x) ∧ DoesNotLike(y,x) ∧ ¬Eats(y,x) → evaluation(GOOD))	1	∀x∀y(Vegetable(x) ∧ DoesNotLike(y,x) ∧ ¬Eats(y,x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Vegetable(v11) | ~DoesNotLike(v12, v11) | Eats(v12, v11)	1	INVALID HORN	0
420	3808	it's unreasonable to not have noticed that you have gained weight.	∀x∀y(GainedWeight(x,y) ∧ ¬Noticed(y,x) → evaluation(BAD))	1	∀x(GainedWeight(x) ∧ ¬Noticed(x) → evaluation(BAD))	1	evaluation(BAD) | ~GainedWeight(v44) | Noticed(v44)	1	INVALID HORN	0
431	3908	it's okay to not be willing to fight someone over a relationship	∀x∀y∀z(Relationship(y,z) ∧ ¬WillingToFightOver(x,y) → evaluation(GOOD))	1	∀x∀y∀z(Relationship(y,z) ∧ ¬WillingToFightOver(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~Relationship(v62, v63) | WillingToFightOver(v61, v62)	1	INVALID HORN	0
451	4106	you should have to stay at a place you don't like.	∀x∀y(Place(y) ∧ ¬Likes(x,y) ∧ StaysAt(x,y) → evaluation(GOOD))	1	∀x∀y(Place(y) ∧ ¬Likes(x,y) ∧ StaysAt(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Place(v104) | Likes(v103, v104) | ~StaysAt(v103, v104)	1	INVALID HORN	0
468	4301	it's polite not to be willing to accept someone's reasoning for being late.	∀x∀y∃z(Reasoning(z,x) ∧ BeingLate(x) ∧ NotWillingToAccept(y,z) → evaluation(GOOD))	1	∀x∀y∃z(Reasoning(z,x) ∧ BeingLate(x) ∧ ¬WillingToAccept(y,z) → evaluation(GOOD))	1	evaluation(GOOD) | ~Reasoning(f6(v137,v138), v137) | ~BeingLate(v137) | WillingToAccept(v138, f6(v137,v138))	1	INVALID HORN	0
474	4307	it's expected that you won't swoop in on the crush of your friend.	∀x∀y∀z(Friends(x,y) ∧ CrushOf(z,y) ∧ ¬SwoopInOn(x,z) → evaluation(GOOD))	1	∀x∀y∀z(Friends(x,y) ∧ CrushOf(z,y) ∧ ¬SwoopInOn(x,z) → evaluation(GOOD))	1	evaluation(GOOD) | ~Friends(v146, v147) | ~CrushOf(v148, v147) | SwoopInOn(v146, v148)	1	INVALID HORN	0
475	4308	it is wrong to harbor hatred for people that you do not know.	∀x∀y(People(y) ∧ ¬Knows(x,y) ∧ HarborsHatredFor(x,y) → evaluation(BAD))	1	∀x∀y(People(y) ∧ ¬Knows(x,y) ∧ HarborsHatredFor(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~People(v150) | Knows(v149, v150) | ~HarborsHatredFor(v149, v150)	1	INVALID HORN	0
476	4309	it's okay to be attracted to someone else as long as you don't act on those feelings while in a relationship.	∀x∀y∀z(InRelationship(x,y) ∧ AttractedTo(x,z) ∧ ¬ActsOn(x,z) → evaluation(GOOD))	1	∀x∀y∀z(InRelationship(x,y) ∧ AttractedTo(x,z) ∧ ¬ActsOn(x,z) → evaluation(GOOD))	1	evaluation(GOOD) | ~InRelationship(v151, v152) | ~AttractedTo(v151, v153) | ActsOn(v151, v153)	1	INVALID HORN	0
478	4400	you should go back to something you aren't done with.	∀x∀y(Thing(x) ∧ NotDoneWith(y,x) ∧ GoBackTo(y,x) → evaluation(GOOD))	1	∀x∀y(Thing(x) ∧ ¬DoneWith(y,x) ∧ GoBackTo(y,x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Thing(v157) | DoneWith(v158, v157) | ~GoBackTo(v158, v157)	1	INVALID HORN	0
483	4405	if you have a low tire in your car, you should not fill it with air .	∀x∀y(Car(x) ∧ Has(y,x) ∧ LowTire(y) ∧ ¬FillsWithAir(y,x) → evaluation(GOOD))	1	∀x∀y(Car(x) ∧ Has(y,x) ∧ LowTire(x) ∧ ¬FillsWithAir(y,x) → evaluation(BAD))	1	evaluation(BAD) | ~Car(v165) | ~Has(v166, v165) | ~LowTire(v165) | FillsWithAir(v166, v165)	1	INVALID HORN	0
487	4409	it's wrong to let something that isn't a big deal ruin your day.	∀x∀y(Thing(x) ∧ NotBigDeal(x) ∧ LetsRuinDay(y,x) → evaluation(BAD))	1	∀x∀y(Thing(x) ∧ ¬BigDeal(x) ∧ LetsRuinDay(y,x) → evaluation(BAD))	1	evaluation(BAD) | ~Thing(v173) | BigDeal(v173) | ~LetsRuinDay(v174, v173)	1	INVALID HORN	0
492	4503	it is understandable that you want to replace clothing that can no longer be considered acceptable office wear.	∀x∀y∀z(Clothing(x) ∧ BelongsTo(x,y) ∧ NotAcceptableOfficeWear(x) ∧ WantsToReplace(y, x) → evaluation(GOOD))	1	∀x∀y(Clothing(x) ∧ BelongsTo(x,y) ∧ ¬AcceptableOfficeWear(x) ∧ WantsToReplace(y, x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Clothing(v182) | ~BelongsTo(v182, v183) | AcceptableOfficeWear(v182) | ~WantsToReplace(v183, v182)	1	INVALID HORN	0
509	4609	you should not be considerate of your neighbors when you're listening to music in your apartment.	∀x∀y∀z(Neighbor(y,x) ∧ Apartment(z,x) ∧ ListensToMusicIn(x,z) ∧ ConsiderateOf(x,y) → evaluation(BAD))	1	∀x∀y∀z(Neighbor(y,x) ∧ Apartment(z,x) ∧ ListensToMusicIn(x,z) ∧ ¬ConsiderateOf(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~Neighbor(v21, v20) | ~Apartment(v22, v20) | ~ListensToMusicIn(v20, v22) | ConsiderateOf(v20, v21)	1	INVALID HORN	0
511	4700	it's hard to find your contacts when you don't have your contacts.	∀x∀y∀z(Contacts(y) ∧ BelongsTo(y,x) ∧ ¬Has(x,y) ∧ TriesToFind(x,y,z) → evaluation(BAD))	1	∀x∀y(Contacts(y) ∧ BelongsTo(y,x) ∧ ¬Has(x,y) ∧ TriesToFind(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Contacts(v26) | ~BelongsTo(v26, v25) | Has(v25, v26) | ~TriesToFind(v25, v26)	1	INVALID HORN	0
536	4903	it's right not to go to your work christmas party.	∀x∀y(WorkParty(y) ∧ Christmas(y) ∧ BelongsTo(y,x) ∧ ¬GoTo(x,y) → evaluation(GOOD))	1	∀x∀y(WorkParty(y) ∧ Christmas(y) ∧ BelongsTo(y,x) ∧ ¬GoTo(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~WorkParty(v73) | ~Christmas(v73) | ~BelongsTo(v73, v72) | GoTo(v72, v73)	1	INVALID HORN	0
543	4910	if you're really depressed, you should not take time off .	∀x(Depressed(x) ∧ ¬TakesTimeOff(x) → evaluation(GOOD))	1	∀x(Depressed(x) ∧ ¬TakesTimeOff(x) → evaluation(BAD))	1	evaluation(BAD) | ~Depressed(v87) | TakesTimeOff(v87)	1	INVALID HORN	0
552	5008	people should not research nutrition so they know what their body actually needs.	∀x∀y∀z(People(x) ∧ BodyOf(y,x) ∧ Nutrition(z) ∧ ¬Research(x,z) → evaluation(BAD))	1	∀x∀y∀z(People(x) ∧ BodyOf(y,x) ∧ Nutrition(z) ∧ ¬Research(x,z) → evaluation(GOOD))	1	evaluation(GOOD) | ~People(v105) | ~BodyOf(v106, v105) | ~Nutrition(v107) | Research(v105, v107)	1	INVALID HORN	0
557	5102	it's bad if you don't like your grandmother's hairdo.	∀x∀y∀z(GrandmotherOf(x,y) ∧ Hairdo(z,x) ∧ ¬Likes(y,z) → evaluation(BAD))	1	∀x∀y∀z(GrandmotherOf(x,y) ∧ Hairdo(z,x) ∧ ¬Likes(y,z) → evaluation(BAD))	1	evaluation(BAD) | ~GrandmotherOf(v115, v116) | ~Hairdo(v117, v115) | Likes(v116, v117)	1	INVALID HORN	0
577	5301	it's okay to not know what you want sometimes	∃x∃y(Person(x) ∧ Want(x,y) ∧ ¬Knows(x,y) → evaluation(GOOD))	1	∃x∃y(Person(x) ∧ Want(x,y) ∧ ¬Knows(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~Person(C1) | ~Want(C1, C2) | Knows(C1, C2)	1	INVALID HORN	0
588	5401	it is good to be honest with your girlfriend if you don't like the way she looks.	∀x∀y∀z(GirlfriendOf(y,x) ∧ Looks(z,y) ∧ ¬Likes(x,z) ∧ HonestWith(x,y) → evaluation(GOOD))	1	∀x∀y∀z(GirlfriendOf(y,x) ∧ Looks(z,y) ∧ ¬Likes(x,z) ∧ HonestWith(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~GirlfriendOf(v183, v182) | ~Looks(v184, v183) | Likes(v182, v184) | ~HonestWith(v182, v183)	1	INVALID HORN	0
593	5406	if you feel sad, you should not get some help .	∀x∀y(Feels(x, SAD) ∧ GetsHelp(x,y) → evaluation(BAD))	1	∀x(Feels(x, SAD) ∧ ¬∃y(GetsHelp(x,y)) → evaluation(GOOD))	1	evaluation(GOOD) | ~Feels(v193, SAD) | GetsHelp(v193, f10(v193))	1	INVALID HORN	0
602	5504	it is not creative work to write an english paper.	∀x∀y(Paper(y) ∧ English(y) ∧ Writes(x,y) → ¬CreativeWork(x,y)) → evaluation(BAD)	1	∀x∀y(Paper(y) ∧ English(y) ∧ Writes(x,y) → ¬CreativeWork(x)) → evaluation(BAD)	1	evaluation(BAD) | CreativeWork(C0) & Paper(C1) & English(C1) & Writes(C0, C1)	1	INVALID HORN	0
612	5603	weddings are not expected when one gets married.	∀x∀y((GetsMarried(x, y) ∧ ¬WeddingOf(x, y)) → evaluation(BAD))	1	∀x∀y((GetsMarried(x, y) ∧ ¬WeddingOf(x, y)) → evaluation(GOOD))	1	evaluation(GOOD) | ~GetsMarried(v21, v22) | WeddingOf(v21, v22)	1	INVALID HORN	0
619	5610	it's not okay if you don't want to put wet clothes in a drawer.	∀x∀y(Wet(y) ∧ Clothes(y) ∧ Owns(x,y) ∧ ¬WantsToPutInDrawer(x,y) → evaluation(BAD))	1	∀x∀y(Wet(y) ∧ Clothes(y) ∧ Owns(x,y) ∧ ¬WantsToPutInDrawer(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Wet(v39) | ~Clothes(v39) | ~Owns(v38, v39) | WantsToPutInDrawer(v38, v39)	1	INVALID HORN	0
620	5700	you shouldn't respect your family's space if they do not want you there.	∀x∀y∀z(FamilyOf(x,y) ∧ Space(z,x) ∧ NotWant(y,z) ∧ Respects(y,z) → evaluation(BAD))	1	∀x∀y∀z(FamilyOf(x,y) ∧ Space(z,x) ∧ ¬Want(y,z) ∧ Respects(y,z) → evaluation(BAD))	1	evaluation(BAD) | ~FamilyOf(v40, v41) | ~Space(v42, v40) | Want(v41, v42) | ~Respects(v41, v42)	1	INVALID HORN	0
639	5809	it's unreasonable to expect strangers to not do things to harm your child.	∀x∀y∀z(ChildOf(x,y) ∧ Stranger(z) ∧ DoesNotHarm(z,x) → evaluation(BAD))	1	∀x∀y∀z(ChildOf(y,x) ∧ Stranger(z) ∧ ¬Harm(z,x) → evaluation(BAD))	1	evaluation(BAD) | ~ChildOf(v77, v76) | ~Stranger(v78) | Harm(v78, v76)	1	INVALID HORN	0
643	5902	it's okay not to like liberals.	∀x(Liberal(x) ∧ ¬Likes(YOU,x) → evaluation(GOOD))	1	∀x(Liberal(x) ∧ ¬Likes(YOU,x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Liberal(v85) | Likes(YOU, v85)	1	INVALID HORN	0
654	6002	it's bad to be skeptical when things don't seem right.	∀x∀y(Things(y) ∧ ¬SeemRight(y) ∧ Skeptical(x) → evaluation(BAD))	1	∀x∀y(Things(y) ∧ ¬SeemRight(y) ∧ Skeptical(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Things(v106) | SeemRight(v106) | ~Skeptical(v105, v106)	1	INVALID HORN	0
659	6008	it is good to avoid sitting by others on a roller coaster if you think you might throw up.	∀x∀y∀z(People(x) ∧ RollerCoaster(y) ∧ CouldThrowUp(x) ∧ ¬SitsNextToOn(x,z,y) → evaluation(GOOD))	1	∀x∀y∀z(People(x) ∧ RollerCoaster(y) ∧ CouldThrowUp(x) ∧ ¬SitsNextToOn(x,z,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~People(v115) | ~RollerCoaster(v116) | ~CouldThrowUp(v115) | SitsNextToOn(v115, v117, v116)	1	INVALID HORN	0
663	6101	it is expected people won't want to stay long if they are annoyed with others.	∀x∀y∀z(People(x) ∧ AnnoyedWith(x,z) ∧ ¬People(z) ∧ ¬WantToStayLong(x,y) → evaluation(GOOD))	1	∀x∀y∃z(People(x) ∧ AnnoyedWith(x,z) ∧ ¬WantToStayLong(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~People(v122) | ~AnnoyedWith(v122, f7(v122,v123)) | WantToStayLong(v122, v123)	1	INVALID HORN	0
671	6109	you should consider ending your marriage if you are very attracted to someone else.	∀x∀y∀z(MarriageOf(x,y) ∧ ∃w(People(w) ∧ ¬Equals(w,x) ∧ AttractedTo(z,w)) → ConsiderEnding(x,y) → evaluation(GOOD))	1	∀x∀y∀z∀w(MarriageOf(x,y) ∧ People(w) ∧ ¬Equals(w,x) ∧ AttractedTo(z,w) ∧ ConsiderEnding(z,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~MarriageOf(v140, v141) | ~People(v143) | Equals(v143, v140) | ~AttractedTo(v142, v143) | ~ConsiderEnding(v142, v141)	1	INVALID HORN	0
695	6400	it's bad to be honest if you don't like something that your parents bought for you.	∀x∀y∀z(ParentsOf(x,y) ∧ BuysFor(z,x,y) ∧ ¬Likes(y,z) ∧ HonestAbout(y,z) → evaluation(BAD))	1	∀x∀y∀z(ParentsOf(x,y) ∧ BuysFor(x,y,z) ∧ ¬Likes(y,z) ∧ HonestAbout(y,z) → evaluation(BAD))	1	evaluation(BAD) | ~ParentsOf(v187, v188) | ~BuysFor(v187, v188, v189) | Likes(v188, v189) | ~HonestAbout(v188, v189)	1	INVALID HORN	0
703	6408	it's okay to not want anything to do with your sibling.	∀x∀y(SiblingOf(x,y) ∧ ¬WantsToDoAnythingWith(y,x) → evaluation(GOOD))	1	∀x∀y(SiblingOf(x,y) ∧ ¬WantsToDoAnythingWith(y,x) → evaluation(GOOD))	1	evaluation(GOOD) | ~SiblingOf(v7, v8) | WantsToDoAnythingWith(v8, v7)	1	INVALID HORN	0
711	6505	it is wrong to dictate another adults sleep schedule.	∀x∀y∃z(People(x) ∧ Adult(z) ∧ Not(x,z) ∧ SleepSchedule(y,z) ∧ Dictate(x,y) → evaluation(BAD))	1	∀x∀y∃z(People(x) ∧ Adult(z) ∧ ¬Equals(x,z) ∧ SleepSchedule(y,z) ∧ Dictate(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~People(v26) | ~Adult(f3(v26,v27)) | Equals(v26, f3(v26,v27)) | ~SleepSchedule(v27, f3(v26,v27)) | ~Dictate(v26, v27)	1	INVALID HORN	0
719	6602	it's fine not to want to hear other's conversation you find objectionable.	∀x∀y∃z(Conversation(z) ∧ FindsObjectionable(x,z) ∧ ¬WantsToHear(x,z) → evaluation(GOOD))	1	∀x∀y∃z(Conversation(z) ∧ FindsObjectionable(x,z) ∧ ¬WantsToHear(y,z) → evaluation(GOOD))	1	evaluation(GOOD) | ~Conversation(f4(v39,v40)) | ~FindsObjectionable(v39, f4(v39,v40)) | WantsToHear(v40, f4(v39,v40))	1	INVALID HORN	0
725	6608	it's wrong to take pictures of people without their consent.	∀x∀y∀z(Picture(x) ∧ People(y) ∧ Take(z, x, y) ∧ ¬HasConsent(z, y, x) → evaluation(BAD))	1	∀x∀y∀z(Picture(x) ∧ People(y) ∧ Take(z, x, y) ∧ ¬HasConsent(y, z) → evaluation(BAD))	1	evaluation(BAD) | ~Picture(v51) | ~People(v52) | ~Take(v53, v51, v52) | HasConsent(v52, v53)	1	INVALID HORN	0
728	6700	it's okay to not trust your roommates.	∀x∀y(RoommateOf(x,y) ∧ ¬Trusts(x,y) → evaluation(GOOD))	1	∀x∀y(RoommateOf(x,y) ∧ ¬Trusts(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~RoommateOf(v58, v59) | Trusts(v58, v59)	1	INVALID HORN	0
736	6708	you're not expected to pay forward a good act if someone paid forward a good act for you.	∀x∀y∀z(GoodAct(z) ∧ PaidForward(y,z) ∧ ForYou(x,y) ∧ PayForward(x,z) → ¬evaluation(GOOD))	1	∀x∀y∀z(GoodAct(z) ∧ PaidForward(y,z) ∧ ForYou(x,y) ∧ ¬PayForward(x,z) → evaluation(GOOD))	1	evaluation(GOOD) | ~GoodAct(v72) | ~PaidForward(v71, v72) | ~ForYou(v70, v71) | PayForward(v70, v72)	1	INVALID HORN	0
737	6709	employees are not expected to be responsible when granted a company vehicle.	∀x∀y(Employee(x) ∧ CompanyVehicle(y) ∧ Granted(x,y) ∧ ResponsibleWhenGranted(x,y) → evaluation(BAD))	1	∀x∀y(Employee(x) ∧ CompanyVehicle(y) ∧ Granted(x,y) ∧ ¬ResponsibleWhenGranted(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Employee(v73) | ~CompanyVehicle(v74) | ~Granted(v73, v74) | ResponsibleWhenGranted(v73, v74)	1	INVALID HORN	0
753	6903	you should always tell your friend if you don't want to be friends with them anymore.	∀x∀y(Friends(x,y) ∧ ¬WantsToBeFriends(x,y) ∧ Tells(x,y) → evaluation(GOOD))	1	∀x∀y(Friends(x,y) ∧ ¬WantsToBeFriends(x,y) → Tells(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~Tells(v100, v101) | ~Friends(v100, v101) | WantsToBeFriends(v100, v101)	1	INVALID HORN	0
756	6906	you should not be careful when driving through mud in the rain.	∀x∀y∀z(Driving(x, y) ∧ Mud(y) ∧ Raining(z) → ¬Careful(x) → evaluation(BAD))	1	∀x∀y∀z(Driving(x, y) ∧ Mud(y) ∧ Raining(z) ∧ ¬Careful(x) → evaluation(BAD))	1	evaluation(BAD) | ~Driving(v106, v107) | ~Mud(v107) | ~Raining(v108) | Careful(v106)	1	INVALID HORN	0
759	6909	it's not illegal to not stay at the scene of an accident.	∀x∀y(Accident(y) ∧ SceneOf(x,y) ∧ ¬StaysAt(x) → evaluation(GOOD))	1	∀x∀y(Accident(y) ∧ SceneOf(x,y) ∧ ¬StaysAt(x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Accident(v115) | ~SceneOf(v114, v115) | StaysAt(v114)	1	INVALID HORN	0
764	7003	you are not expected to be honest about who fathered your child.	∀x∀y∀z(ChildOf(y,z) ∧ BelongsTo(y,x) ∧ HonestAbout(x,z) → evaluation(BAD))	1	∀x∀y∀z(ChildOf(y,z) ∧ BelongsTo(y,x) ∧ ¬HonestAbout(x,z) → evaluation(BAD))	1	evaluation(BAD) | ~ChildOf(v127, v128) | ~BelongsTo(v127, v126) | HonestAbout(v126, v128)	1	INVALID HORN	0
775	7103	it is irrational that not everyone will enjoy a shift swap at work.	∀x∀y(Work(x) ∧ ShiftSwap(y,x) ∧ ¬∀z(People(z) → Enjoys(z,y)) → evaluation(BAD))	1	∀x∀y(Work(x) ∧ ShiftSwap(y,x) ∧ ¬∀z(People(z) → Enjoys(z,y)) → evaluation(BAD))	1	evaluation(BAD) | ~Work(v148) | ~ShiftSwap(v149, v148) | Enjoys(v150, v149) | ~People(v150)	1	INVALID HORN	0
782	7110	if you get a flat tire your spouse isn't expected to help you change it.	∀x∀y∀z(IsSpouseOf(x,y) ∧ HasFlatTire(z,x) ∧ HelpsChange(y,z) → evaluation(BAD))	1	∀x∀y∀z(IsSpouseOf(x,y) ∧ HasFlatTire(z,x) ∧ ¬HelpsChange(y,z) → evaluation(GOOD))	1	evaluation(GOOD) | ~IsSpouseOf(v163, v164) | ~HasFlatTire(v165, v163) | HelpsChange(v164, v165)	1	INVALID HORN	0
783	7200	if you take someone elses food it is important to make sure no one else sees you	∀x∀y∃z(Food(y) ∧ BelongsTo(y,z) ∧ Takes(x,y) ∧ NoOneSees(x) → evaluation(GOOD))	1	∀x∀y∀z(Food(y) ∧ BelongsTo(y,z) ∧ Takes(x,y) ∧ ¬SeesAnyoneElse(x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Food(v167) | ~BelongsTo(v167, v168) | ~Takes(v166, v167) | SeesAnyoneElse(v166)	1	INVALID HORN	0
790	7208	you shouldn't remove channels you don't watch from your cable package.	∀x∀y((Channel(x) ∧ CablePackage(y) ∧ BelongsTo(y,x) ∧ ¬Watches(y,x)) → evaluation(BAD))	1	∀x∀y(Channel(x) ∧ CablePackage(y) ∧ BelongsTo(x,y) ∧ ¬Watch(y,x) → evaluation(BAD))	1	evaluation(BAD) | ~Channel(v180) | ~CablePackage(v181) | ~BelongsTo(v180, v181) | Watch(v181, v180)	1	INVALID HORN	0
796	7303	it's bad to cut out your best friend without explanation.	∀x∀y(Friend(y,x) ∧ Best(y,x) ∧ ¬Explains(x,y,CUT_OUT) → evaluation(BAD))	1	∀x∀y(Friend(y,x) ∧ Best(y,x) ∧ CutOut(x,y) ∧ ¬Explains(x,y,CUT_OUT) → evaluation(BAD))	1	evaluation(BAD) | ~Friend(v193, v192) | ~Best(v193, v192) | ~CutOut(v192, v193) | Explains(v192, v193, CUT_OUT)	1	INVALID HORN	0
799	7306	it's not ok if you don't want to go out with your colleagues.	∀x∀y((BelongsTo(x,y) ∧ Colleague(x) ∧ ¬WantsToGoOutWith(y,x)) → evaluation(BAD))	1	∀x(Colleague(x) ∧ ¬WantsToGoOutWith(YOU,x) → evaluation(BAD))	1	evaluation(BAD) | ~Colleague(v198) | WantsToGoOutWith(YOU, v198)	1	INVALID HORN	0
801	7308	if you have a test, you're not expected to be ready for it .	∀x∀y(Test(x) ∧ Has(y,x) ∧ ¬ReadyFor(y,x) → evaluation(BAD))	1	∀x∀y(Test(x) ∧ Has(y,x) ∧ ¬ReadyFor(y,x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Test(v2) | ~Has(v3, v2) | ReadyFor(v3, v2)	1	INVALID HORN	0
840	7704	when you leave food out in the open, you shouldn't be surprised when animals get into it.	∀x∀y∀z(LeavesInOpen(x, FOOD) ∧ Animal(y) ∧ GetsInto(y, x) ∧ Surprised(z) → evaluation(BAD))	1	∀x∀y∀z(Food(x) ∧ LeavesInOpen(z, x) ∧ Animal(y) ∧ GetsInto(y, x) → ¬Surprised(z) → evaluation(BAD))	1	evaluation(BAD) | Surprised(v90) | ~Food(v88) | ~LeavesInOpen(v90, v88) | ~Animal(v89) | ~GetsInto(v89, v88)	1	INVALID HORN	0
